StudyHours,Attendance,Discussions,Motivation,AssignmentCompletion,ExamScore,FinalGrade
19,64,1,0,59,40,3
19,64,0,0,90,66,2
19,64,0,0,67,99,0
19,64,1,1,59,40,3
19,64,0,1,90,66,2
19,64,0,1,67,99,0
24,98,0,1,65,46,3
24,98,1,1,71,83,1
24,98,1,1,61,95,0
24,98,0,2,65,46,3
24,98,1,2,71,83,1
24,98,1,2,61,95,0
24,98,0,0,65,46,3
24,98,1,0,71,83,1
24,98,1,0,61,95,0
29,89,1,1,75,54,3
29,89,1,1,59,42,3
29,89,0,1,96,62,2
29,89,1,0,75,54,3
29,89,1,0,59,42,3
29,89,0,0,96,62,2
19,92,1,1,63,40,3
19,92,0,1,86,94,0
19,92,1,2,63,40,3
19,92,0,2,86,94,0
29,84,1,0,57,48,3
29,84,0,0,74,60,2
29,84,1,1,57,48,3
29,84,0,1,74,60,2
25,78,0,1,91,58,2
17,94,1,2,74,92,0
17,94,1,0,74,92,0
17,94,1,1,74,92,0
23,98,0,1,65,58,2
23,98,1,1,100,93,0
23,98,0,0,65,58,2
23,98,1,0,100,93,0
17,80,1,1,68,73,1
17,80,1,1,64,69,2
17,80,1,1,68,87,0
17,80,0,1,64,88,0
17,80,1,1,73,78,1
17,97,0,0,64,87,0
17,97,1,0,70,82,1
17,97,0,1,64,87,0
17,97,1,1,70,82,1
17,97,0,2,64,87,0
17,97,1,2,70,82,1
21,83,0,0,66,86,0
21,83,1,0,77,96,0
21,83,0,2,66,86,0
21,83,1,2,77,96,0
21,83,0,1,66,86,0
21,83,1,1,77,96,0
9,82,0,1,55,40,3
9,82,0,1,73,46,3
10,78,0,1,71,68,2
10,78,0,1,85,78,1
17,68,1,1,75,42,3
17,68,1,1,87,64,2
17,68,1,1,88,49,3
17,68,1,2,75,42,3
17,68,1,2,87,64,2
17,68,1,2,88,49,3
22,70,1,1,74,40,3
22,70,1,0,74,40,3
22,70,1,2,74,40,3
15,80,0,0,50,56,2
15,80,1,0,87,89,0
15,80,1,0,56,75,1
15,80,0,1,50,56,2
15,80,1,1,87,89,0
15,80,1,1,56,75,1
15,80,0,2,50,56,2
